mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__random_state,param_model__kernel,param_model__degree,param_model__class_weight,param_model__C,params,split0_test_recall,split1_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_matthew,split1_test_matthew,mean_test_matthew,std_test_matthew,rank_test_matthew
4.605581998825073,0.08364200592041016,0.2776780128479004,0.015233993530273438,2,linear,3,balanced,0.5,"{'model__random_state': 2, 'model__kernel': 'linear', 'model__degree': 3, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.88,0.89,0.885,0.0050000000000000044,45,0.5317220543806647,0.5266272189349113,0.529174636657788,0.002547417722876699,46,0.38095238095238093,0.3739495798319328,0.37745098039215685,0.003501400560224077,51,0.42282261962208373,0.41817377423313784,0.4204981969276108,0.002324422694472944,46
4.689346432685852,0.020571589469909668,0.31805741786956787,0.006063580513000488,2,poly,3,balanced,0.5,"{'model__random_state': 2, 'model__kernel': 'poly', 'model__degree': 3, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.52,0.49,0.505,0.015000000000000013,50,0.4351464435146444,0.4242424242424242,0.4296944338785343,0.005452009636110089,54,0.37410071942446044,0.37404580152671757,0.374073260475589,2.7458948871433853e-05,54,0.2735992419213272,0.26269455197348424,0.2681468969474057,0.005452344973921469,54
4.722674131393433,0.03458404541015625,0.8440479040145874,0.028035998344421387,2,rbf,3,balanced,0.5,"{'model__random_state': 2, 'model__kernel': 'rbf', 'model__degree': 3, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.85,0.93,0.89,0.040000000000000036,39,0.5345911949685535,0.5619335347432024,0.548262364855878,0.013671169887324475,28,0.38990825688073394,0.4025974025974026,0.3962528297390683,0.006344572858334341,33,0.42096924993495477,0.47253422181797766,0.4467517358764662,0.025782485941511446,37
5.010122895240784,0.011999964714050293,0.20181512832641602,0.003805875778198242,2,linear,4,balanced,0.5,"{'model__random_state': 2, 'model__kernel': 'linear', 'model__degree': 4, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.88,0.89,0.885,0.0050000000000000044,45,0.5317220543806647,0.5266272189349113,0.529174636657788,0.002547417722876699,46,0.38095238095238093,0.3739495798319328,0.37745098039215685,0.003501400560224077,51,0.42282261962208373,0.41817377423313784,0.4204981969276108,0.002324422694472944,46
5.034669041633606,0.07295787334442139,0.25160837173461914,0.0035784244537353516,2,poly,4,balanced,0.5,"{'model__random_state': 2, 'model__kernel': 'poly', 'model__degree': 4, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.47,0.47,0.47,0.0,52,0.4676616915422886,0.43317972350230416,0.45042070752229635,0.017240984019992217,53,0.46534653465346537,0.4017094017094017,0.4335279681814336,0.03181856647203182,25,0.3363838687327675,0.28183391160671606,0.30910889016974175,0.027274978563025715,53
4.91146993637085,0.011156082153320312,0.9286521673202515,0.005150914192199707,2,rbf,4,balanced,0.5,"{'model__random_state': 2, 'model__kernel': 'rbf', 'model__degree': 4, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.85,0.93,0.89,0.040000000000000036,39,0.5345911949685535,0.5619335347432024,0.548262364855878,0.013671169887324475,28,0.38990825688073394,0.4025974025974026,0.3962528297390683,0.006344572858334341,33,0.42096924993495477,0.47253422181797766,0.4467517358764662,0.025782485941511446,37
5.050634503364563,0.016619563102722168,0.1757488250732422,0.002835988998413086,2,linear,5,balanced,0.5,"{'model__random_state': 2, 'model__kernel': 'linear', 'model__degree': 5, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.88,0.89,0.885,0.0050000000000000044,45,0.5317220543806647,0.5266272189349113,0.529174636657788,0.002547417722876699,46,0.38095238095238093,0.3739495798319328,0.37745098039215685,0.003501400560224077,51,0.42282261962208373,0.41817377423313784,0.4204981969276108,0.002324422694472944,46
5.048255562782288,0.0002034902572631836,0.2981494665145874,0.0020755529403686523,2,poly,5,balanced,0.5,"{'model__random_state': 2, 'model__kernel': 'poly', 'model__degree': 5, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.47,0.47,0.47,0.0,52,0.4676616915422886,0.4392523364485982,0.45345701399544336,0.014204677546845207,52,0.46534653465346537,0.41228070175438597,0.43881361820392567,0.0265329164495397,20,0.3363838687327675,0.2914370404322626,0.31391045458251504,0.022473414150252446,52
4.978742957115173,0.003880143165588379,0.7830209732055664,0.0060160160064697266,2,rbf,5,balanced,0.5,"{'model__random_state': 2, 'model__kernel': 'rbf', 'model__degree': 5, 'model__class_weight': 'balanced', 'model__C': 0.5}",0.85,0.93,0.89,0.040000000000000036,39,0.5345911949685535,0.5619335347432024,0.548262364855878,0.013671169887324475,28,0.38990825688073394,0.4025974025974026,0.3962528297390683,0.006344572858334341,33,0.42096924993495477,0.47253422181797766,0.4467517358764662,0.025782485941511446,37
5.462249040603638,0.013015031814575195,0.16058599948883057,0.006258845329284668,2,linear,3,balanced,1,"{'model__random_state': 2, 'model__kernel': 'linear', 'model__degree': 3, 'model__class_weight': 'balanced', 'model__C': 1}",0.88,0.9,0.89,0.010000000000000009,39,0.5382262996941897,0.5309734513274337,0.5345998755108117,0.0036264241833779964,43,0.3876651982378855,0.37656903765690375,0.3821171179473946,0.005548080290490864,48,0.43132582948443154,0.42603921345906953,0.42868252147175057,0.002643308012681006,43
